,Line ID,Shape ID,Departure Time,Vehicle ID,Scheduled Travel Time (min),Travel Time (min),Distance (m),Energy Consumption (kWh)
2398,1-800,1-800-R-123,19:59:00,veh_2545_bus,73.0,72.88333333333334,26476.70473041828,26.46744444126499
2399,1-800,1-800-R-123,20:14:00,veh_2546_bus,73.0,72.93333333333334,26476.70473041828,26.545434038190802
2400,1-800,1-800-R-123,20:29:00,veh_2547_bus,73.0,72.93333333333334,26476.70473041828,26.46878917047614
2401,1-800,1-800-R-123,20:44:00,veh_2548_bus,73.0,72.93333333333334,26476.70473041828,26.475989971302354
2402,1-800,1-800-R-123,20:59:00,veh_2440_bus,72.0,71.93333333333334,26476.70473041828,26.43165660875534
2403,1-800,1-800-R-123,21:14:00,veh_2587_bus,71.0,70.93333333333334,26476.70473041828,26.456794754504553
2404,1-800,1-800-R-123,21:29:00,veh_2580_bus,69.0,68.96666666666667,26476.70473041828,26.276983131761853
2405,1-800,1-800-R-123,21:45:00,veh_2558_bus,68.0,67.93333333333334,26476.70473041828,26.11769396590853
2406,1-800,1-800-R-123,22:00:00,veh_2616_bus,66.0,65.96666666666667,26476.70473041828,25.571561931000492
2407,1-800,1-800-R-123,22:16:00,veh_2506_bus,65.0,65.06666666666666,26476.70473041828,25.639551373747917
2408,1-800,1-800-R-123,22:31:00,veh_2507_bus,65.0,65.11666666666666,26476.70473041828,25.654369950819557
2409,1-800,1-800-R-123,22:47:00,veh_2578_bus,64.0,63.96666666666667,26476.70473041828,25.571371887580607
2410,1-800,1-800-R-123,23:02:00,veh_2481_bus,63.0,63.016666666666666,26476.70473041828,25.536140546779958
2411,1-800,1-800-R-123,23:18:00,veh_2488_bus,62.0,62.016666666666666,26476.70473041828,25.564300415614785
2412,1-800,1-800-R-123,23:33:00,veh_2489_bus,62.0,61.96666666666667,26476.70473041828,25.45410174297506
2413,1-800,1-800-R-123,23:48:00,veh_2490_bus,62.0,61.96666666666667,26476.70473041828,25.428909184485967
2414,1-800,1-800-R-123,24:04:00,veh_2497_bus,61.0,60.916666666666664,26476.70473041828,25.359681900838748
2415,1-800,1-800-R-123,24:19:00,veh_2498_bus,61.0,60.96666666666667,26476.70473041828,25.35490292002426
2416,1-800,1-800-R-123,24:34:00,veh_2520_bus,60.0,59.96666666666667,26476.70473041828,25.349736006757354
